state,state_abbr,firearm_total_rate_cdc_2024,firearm_homicide_rate_2024,firearm_suicide_rate_2024,gun_ownership_fss_proxy,source_url,extraction_method
Alabama,AL,23.7,11.0,12.2,0.7431302270011948,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Alaska,AK,24.8,4.5,19.2,0.6351351351351351,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Arizona,AZ,17.9,4.4,12.6,0.6154353562005277,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Arkansas,AR,20.8,6.9,13.1,0.6790540540540541,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
California,CA,7.3,3.1,3.9,0.38040775733465937,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Colorado,CO,16.4,3.6,12.1,0.5422696115765423,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Connecticut,CT,6.2,1.9,4.1,0.37817258883248733,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Delaware,DE,11.9,4.8,6.9,0.568,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Florida,FL,14.1,3.9,9.9,0.6132672722268098,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Georgia,GA,18.0,7.4,10.1,0.6747572815533981,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Hawaii,HI,3.9,1.4,2.2,0.155,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Idaho,ID,16.8,1.3,14.6,0.6544622425629291,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Illinois,IL,12.5,6.9,5.2,0.45652173913043476,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Indiana,IN,17.4,5.5,11.2,0.6536170212765957,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Iowa,IA,12.1,2.1,9.9,0.5802919708029197,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Kansas,KS,15.2,4.2,10.7,0.5996204933586338,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Kentucky,KY,19.2,5.9,12.6,0.6777251184834123,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
