state,state_abbr,firearm_death_rate_2024,source_url,extraction_method
Alabama,AL,23.7,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Alaska,AK,24.4,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Arizona,AZ,16.9,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Arkansas,AR,20.6,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
California,CA,7.0,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Colorado,CO,15.3,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Connecticut,CT,5.8,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Delaware,DE,11.8,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Florida,FL,12.7,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Georgia,GA,17.6,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Hawaii,HI,3.7,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Idaho,ID,15.9,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Illinois,IL,12.4,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Indiana,IN,17.2,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Iowa,IA,11.8,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Kansas,KS,15.2,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Kentucky,KY,18.5,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
Louisiana,LA,22.9,https://www.pewresearch.org/short-reads/2026/04/28/what-the-data-says-about-gun-deaths-in-the-us/,pew_chart_table_data
