State,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_indicator,Lit_P3_CI_L_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_indicator,Num_P3_CI_L_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_TARGET,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance,Shape_Length,Shape_Area,OBJECTID_1,STATEFP,STUSPS,source_item_id,source_title,source_url,extraction_method
Alabama,0.239,0.209,0.27,0.063,,0.367,0.324,0.412,0.058,0.394,0.354,0.43,0.048,,,258.9,253.5,264.7,0.011,0.374,0.34,0.411,0.047,0.325,0.282,0.366,0.065,0.301,0.261,0.34,0.065,,,242.5,236.5,248.4,0.012,4850771,3563743,0.485,0.515,0.684,0.265,0.041,0.013,0.005,0.0,0.032,0.147,0.309,0.544,0.209,0.007,0.02,0.008,0.035,0.18,0.286,0.15,0.625,0.052,0.319,0.34,0.165,0.236,0.096,0.003,0.159,0.107,2258424.7454798995,190219571885.4925,1,1,AL,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Alaska,0.127,0.092,0.162,0.138,,0.329,0.274,0.381,0.082,0.544,0.498,0.597,0.047,,,276.7,270.5,283.3,0.012,0.208,0.165,0.246,0.098,0.373,0.318,0.423,0.073,0.419,0.371,0.475,0.062,,,263.7,257.0,270.7,0.013,738565,548508,0.523,0.477,0.653,0.032,0.068,0.062,0.142,0.012,0.099,0.076,0.276,0.648,0.11,0.014,0.038,0.024,0.076,0.102,0.176,0.103,0.677,0.058,0.231,0.361,0.167,0.221,0.124,0.022,0.106,0.155,58363304.88166852,8232611917740.458,2,2,AK,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Arizona,0.234,0.199,0.265,0.07,,0.316,0.272,0.368,0.078,0.45,0.402,0.491,0.051,,,262.4,256.6,268.6,0.012,0.332,0.297,0.369,0.055,0.307,0.263,0.354,0.076,0.361,0.314,0.404,0.063,,,247.4,241.1,253.9,0.013,6809946,4909084,0.497,0.503,0.775,0.043,0.309,0.031,0.044,0.002,0.105,0.135,0.242,0.623,0.184,0.019,0.069,0.046,0.134,0.17,0.27,0.125,0.657,0.051,0.288,0.355,0.195,0.259,0.092,0.003,0.096,0.122,2871255.4565867754,434116421948.22815,3,4,AZ,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Colorado,0.166,0.138,0.192,0.081,,0.297,0.257,0.348,0.078,0.537,0.49,0.574,0.04,,,272.0,266.4,277.1,0.01,0.248,0.219,0.284,0.065,0.31,0.269,0.352,0.067,0.442,0.4,0.479,0.045,,,259.7,254.0,265.0,0.011,5436519,4047636,0.502,0.498,0.842,0.041,0.213,0.03,0.009,0.002,0.076,0.089,0.216,0.696,0.181,0.015,0.057,0.026,0.098,0.115,0.193,0.082,0.726,0.041,0.224,0.41,0.17,0.229,0.093,0.008,0.09,0.094,2707562.678252322,447303031419.44,4,8,CO,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Florida,0.237,0.211,0.263,0.056,,0.343,0.309,0.376,0.05,0.42,0.389,0.45,0.036,,,258.9,254.9,262.9,0.008,0.348,0.319,0.375,0.042,0.35,0.316,0.386,0.05,0.302,0.272,0.332,0.05,,,242.7,238.3,247.2,0.009,20278447,14889019,0.489,0.511,0.757,0.161,0.247,0.027,0.003,0.001,0.052,0.124,0.29,0.586,0.228,0.034,0.099,0.069,0.202,0.155,0.26,0.144,0.666,0.053,0.277,0.345,0.202,0.266,0.092,0.003,0.091,0.149,4365386.883596045,197705951120.6991,5,12,FL,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Georgia,0.236,0.209,0.261,0.056,,0.352,0.319,0.386,0.048,0.412,0.384,0.44,0.035,,,260.4,256.4,264.1,0.007,0.366,0.336,0.395,0.041,0.334,0.3,0.373,0.055,0.3,0.267,0.328,0.052,,,243.3,238.9,247.4,0.009,10201635,7488794,0.487,0.513,0.594,0.313,0.093,0.038,0.003,0.001,0.051,0.137,0.28,0.582,0.209,0.016,0.061,0.023,0.1,0.169,0.27,0.145,0.658,0.054,0.281,0.365,0.165,0.241,0.091,0.006,0.132,0.148,2317196.364819576,215961331940.11526,6,13,GA,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Indiana,0.187,0.16,0.211,0.069,,0.371,0.335,0.405,0.048,0.442,0.413,0.475,0.035,,,266.3,261.9,271.2,0.009,0.295,0.264,0.323,0.05,0.369,0.331,0.405,0.05,0.336,0.304,0.372,0.05,,,251.5,246.8,256.7,0.01,6614418,4807736,0.493,0.507,0.839,0.093,0.067,0.021,0.002,0.0,0.045,0.117,0.338,0.546,0.179,0.012,0.028,0.011,0.05,0.146,0.238,0.115,0.698,0.046,0.255,0.333,0.166,0.227,0.088,0.001,0.185,0.103,2146424.59190872,159565978529.7866,7,18,IN,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Kansas,0.169,0.144,0.2,0.081,,0.305,0.266,0.341,0.061,0.526,0.494,0.56,0.032,,,271.3,265.9,276.4,0.01,0.25,0.221,0.279,0.058,0.333,0.296,0.371,0.055,0.417,0.382,0.454,0.043,,,258.1,252.1,263.4,0.011,2903820,2074183,0.498,0.502,0.849,0.058,0.115,0.028,0.008,0.001,0.056,0.095,0.262,0.643,0.19,0.013,0.04,0.017,0.07,0.128,0.216,0.086,0.726,0.038,0.226,0.377,0.163,0.222,0.097,0.007,0.134,0.096,2568017.887420461,348436934790.605,8,20,KS,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Maine,0.134,0.1,0.169,0.125,,0.363,0.312,0.41,0.068,0.503,0.46,0.551,0.045,,,273.1,266.3,280.4,0.013,0.229,0.19,0.267,0.083,0.384,0.334,0.434,0.065,0.387,0.338,0.437,0.063,,,260.0,252.6,267.9,0.015,1330158,1000795,0.489,0.511,0.946,0.013,0.015,0.011,0.006,0.0,0.023,0.079,0.323,0.598,0.087,0.007,0.014,0.015,0.036,0.129,0.221,0.153,0.717,0.041,0.239,0.367,0.182,0.232,0.106,0.001,0.112,0.09,3211109.158374401,173751265196.29892,9,23,ME,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Massachusetts,0.173,0.139,0.21,0.101,,0.292,0.243,0.341,0.084,0.536,0.489,0.582,0.042,,,272.9,266.7,279.5,0.012,0.251,0.214,0.29,0.076,0.301,0.252,0.349,0.082,0.448,0.4,0.495,0.052,,,260.8,253.6,267.9,0.014,6789319,5112567,0.485,0.515,0.789,0.074,0.112,0.063,0.002,0.0,0.072,0.097,0.247,0.656,0.195,0.033,0.079,0.05,0.162,0.111,0.174,0.123,0.731,0.048,0.22,0.454,0.175,0.216,0.067,0.001,0.086,0.03,1904396.8877273472,38941936043.10241,10,25,MA,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
