outcome,spec,n,coef,se,p_value,std_beta,std_beta_se,r_squared
firearm_death_rate_2024,simple,50,0.25708518723288504,0.0973826985218124,0.008291893219706147,0.29653892719901304,0.11232759560450191,0.0879353353443415
firearm_death_rate_2024,region,50,0.07872187820218086,0.13846918492251473,0.5696849824361748,0.09080298075680039,0.1597194454842239,0.38637464946690636
firearm_death_rate_2024,cov,50,-0.09855894288589412,0.1139685024268681,0.3871534747096471,-0.11368435304977902,0.1314587503383725,0.8019490904362798
firearm_death_rate_2024,region+cov,50,-0.08630999648150912,0.16019920842777297,0.5900478538562045,-0.09955561438081727,0.18478428071497327,0.8371989987091972
firearm_homicide_rate_2024,simple,50,0.2402548508543297,0.06608377981668787,0.0002773236221151745,0.5249654130370125,0.14439541446573606,0.275588684885121
firearm_homicide_rate_2024,region,50,0.10970296873817842,0.06612498020211176,0.09711083561416645,0.23970489707174403,0.1444854387764812,0.4501944589278094
firearm_homicide_rate_2024,cov,50,-0.03722757164157066,0.05151245534851457,0.46986993970415025,-0.08134357101922349,0.11255655110572466,0.843648892735366
firearm_homicide_rate_2024,region+cov,50,-0.03896862172383919,0.060730184941422384,0.5210887128994114,-0.08514782750897233,0.13269761883358627,0.8455573115393542
firearm_suicide_rate_2024,simple,50,-0.025994085073146732,0.06791673790475596,0.7019165620357426,-0.042982531568950634,0.11230375382848315,0.0018474980200758884
firearm_suicide_rate_2024,region,50,-0.08026133083055823,0.10363074789169373,0.4386390665267489,-0.13271616125294297,0.17135867179915595,0.2944971937379347
firearm_suicide_rate_2024,cov,50,-0.09268314598220453,0.07725841209775364,0.23027483701457774,-0.15325625952517935,0.1277506835733648,0.8185780868912433
firearm_suicide_rate_2024,region+cov,50,-0.08280072749863088,0.11192488448322564,0.45942841886089447,-0.13691518180490225,0.18507344525163635,0.8864456967988587
adult_obesity_pct_2024,simple,49,0.2947461822682511,0.06333988827644058,3.264973272815654e-06,0.54338369051132,0.11677118931061496,0.2952658351137025
adult_obesity_pct_2024,region,49,0.08714761726609095,0.08475611438613702,0.30384809858884243,0.16066228076270278,0.1562533902020945,0.5154887033186442
adult_obesity_pct_2024,cov,49,0.0350677180328334,0.0982221851268259,0.7210735292718511,0.0646496110512775,0.18107896439427368,0.7867844607512982
adult_obesity_pct_2024,region+cov,49,0.004479725627459038,0.09350634524475644,0.9617893621525659,0.00825866454043308,0.1723850079221006,0.8116904761869164
literacy_avg_score,simple,50,-0.5582014760989562,0.1237704532171894,6.483569479889503e-06,-0.5135293100483534,0.11386525863240034,0.2637123522787378
literacy_avg_score,region,50,-0.5027370767981572,0.14940596327443695,0.000765696390611452,-0.4625036572603332,0.13744919087929783,0.4668220968847909
literacy_avg_score,cov,50,-0.016613745890564413,0.10720919677160216,0.8768483751931053,-0.0152841685839393,0.0986293788287995,0.9383825701508094
literacy_avg_score,region+cov,50,-0.037598841407451955,0.1031824354766878,0.7155653998492092,-0.03458985315037645,0.09492487420448675,0.9543717476356183
numeracy_avg_score,simple,50,-0.7041299177702298,0.15444841192661615,5.139839273700261e-06,-0.533256195827124,0.11696786419236296,0.28436217038801603
numeracy_avg_score,region,50,-0.5963373710435342,0.18066949808955562,0.000964409818292138,-0.45162205139533995,0.1368257857276145,0.4924088641043205
numeracy_avg_score,cov,50,-0.0006392205811613927,0.11323481958765108,0.9954958949402619,-0.00048409863975664656,0.08575572150051097,0.9519370282894142
numeracy_avg_score,region+cov,50,-0.02351328924665408,0.10424139499631782,0.8215391758565572,-0.01780723536752936,0.07894476337474442,0.9637741326789763
imprisonment_rate_2023_all_ages,simple,50,9.45441381670748,2.7338443324974637,0.0005436252614167601,0.4807761715764807,0.13902154457651203,0.23114572715573733
imprisonment_rate_2023_all_ages,region,50,3.845167802523213,2.8898663259624144,0.1833307254510873,0.19553460330870745,0.14695558027180305,0.4670505780334251
imprisonment_rate_2023_all_ages,cov,50,-2.042824403583215,3.3554435689758875,0.5426510158380486,-0.10388177575030014,0.1706311300000783,0.7264708854715833
imprisonment_rate_2023_all_ages,region+cov,50,-2.82389724866721,3.6185554176249384,0.4351592729252639,-0.14360091851917559,0.1840109026377387,0.7648527381224027
