,10 least religiously affiliated,10 most religiously affiliated
religiously_affiliated_pct,60.2,79.2
religiously_unaffiliated_pct,39.8,20.8
atheist_pct,7.2,2.9
agnostic_pct,9.3,3.4
nothing_in_particular_pct,23.3,14.5
firearm_death_rate_2024,12.77,18.669999999999998
firearm_homicide_rate_2024,2.38,7.37
firearm_suicide_rate_2024,10.79,10.7
adult_obesity_pct_2024,30.65,37.77777777777778
literacy_avg_score,272.31,262.63
numeracy_avg_score,259.71999999999997,247.49
imprisonment_rate_2023_all_ages,220.3,411.4
imprisonment_rate_2023_adult,277.1,532.7
poverty_pct,12.17,15.95
less_than_hs_pct,8.98,12.45
unemployment_pct,4.28,4.42
uninsured_pct,8.73,10.370000000000001
snap_pct,11.75,13.029999999999998
pct_black,3.1399999999999997,18.630000000000003
pct_hispanic,10.97,5.63
gun_ownership_pct_proxy,54.06683674316015,64.25975805088751
population_density,140.1847536265168,117.84345038534263
median_household_income,85990.5,67306.5
median_age,40.18,39.03
